,Wh Used,RPM,current,Available filters and text transformations,Ah Used,More details at https,Tachometer,Voltage In,Quit,Menu,Help,ADC1,ADC2,ADC3,PPM,g9 Open Voltage,Checksum,Cell ID,Instant Voltage,Internal Resistance,Open Voltage,duty cycle,ance,Reserved,Pack Current,Voltage,Pack SOC,Relay State,High Temperature,High Thermistor ID,Low Temperature,Low Thermistor ID,Wh Charged,Pack DCL,Pack CCL,High Cell Voltage,High Cell Voltage ID,Low Cell Voltage,Low Cell Voltage ID,Ah Charged,Inte Wh Used
0,13724,0,0,"colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time",276,//bit.ly/pio-monitor-filters,35658,508,Ctrl+C |,Ctrl+T |,Ctrl+T followed by Ctrl+H,615,632,615,0,0,62,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0,,276,,,,,,,,,,,,62,13,0,1509,0,3,1509,,,,,,,,,,,,,,,,,,
2,13724,0,0,,,,35658,508,,,,611,633,611,0,,233,13,0,1509,0,,,0,0 Pack Inst.,0,2,32840,25,8,23,4,2785,0,0,,,,,,
3,,,,,276,,,,,,,,,,,,64,14,0,1509,0,,,,,,,,,,,,,,,,,,,,
4,,,,,,,35658,508,,,,858,633,858,,,2,15,0,1509,0,,,0,,,,,,,,,,,,0,1,0,1,,
5,13724,146,271,,277,,,,,,,1260,633,1260,,,233,0,0,1509,0,94,,,0 Pack Inst.,0,2,32840,25,8,23,4,2785,0,0,,,,,52,
6,13728,1349,487,,,,,,,,,,,,,,2,1,0,1509,0,,,,,,,,,,,,2786,,,0,1,0,1,,
7,,,,,278,,,,,,,,,,,,49,2,0,1509,0,,,,,,,,,,,,,,,,,,,,
8,13807,3228,483,,284,,,,,,,1445,633,1445,0,,233,3,0,1509,0,512,,,0 Pack Inst.,0,2,32840,25,8,23,4,2786,0,0,,,,,,
9,14114,,,,,,,,,,,1470,636,1470,0,,2,4,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,,
10,,4877,376,,,,,,,,,,,,,,52,5,0,1509,0,,,,,,,,,,,,,,,,,,,,
11,14494,6109,312,,292,,,,,,,1434,633,1434,0,,233,6,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,2786,0,0,,,,,52,
12,,,,,299,,,,,,,1298,632,1298,,,2,7,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,52,
13,14853,,,,,,,,,,,,,,,,60,8,0,1509,0,,,,,,,,,,,,,,,,,,,,
14,15107,6972,-42,,305,,,,,,,1285,632,1285,0,,60,9,0,1509,0,925,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,52,
15,,6538,301,,,,,,,,,,,,,,62,10,0,1509,0,,,,,,,,,,,,,,,,,,,,
16,15260,7010,-71,,308,,,,,,,1286,634,1286,0,,233,11,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,2974,0,0,,,,,55,
17,,,,,311,,,,,,,,,,,,64,12,0,1509,0,,,,,,,,,,,,,,,,,,,,
18,15432,,,,,,,,,,,1234,633,1234,0,,2,13,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,,
19,15432,5857,0,,311,,,,,,,1040,632,1040,0,,233,14,0,1509,0,773,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,61,
20,,5587,0,,311,,,,,,,,,,,,2,15,0,1509,0,753,,,,,,,,,,,,,,0,1,0,1,,
21,,,,,,,,,,,,1041,633,1041,,,52,0,0,1509,0,,,,,,,,,,,,,,,,,,,,
22,15432,5468,0,,311,,,,,,,1041,632,1041,,,233,1,0,1509,0,737,,,0 Pack Inst.,0,2,32840,25,8,23,4,3274,0,0,,,,,61,
23,15432,5358,0,,,,,,,,,,,,,,2,2,0,1509,0,,,,,,,,,,,,3274,,,0,1,0,1,,
24,,,,,311,,,,,,,,,,,,55,3,0,1509,0,,,,,,,,,,,,,,,,,,,,
