,Wh Used,Wh Charged,RPM,current,duty cycle,Ah Used,Ah Charged,Tachometer,Voltage In,Reserved,ADC1,ADC2,ADC3,PPM,g9 Open Voltage,Checksum,Cell ID,Instant Voltage,Internal Resistance,Open Voltage,ance,Pack Current,Voltage,Pack SOC,Relay State,High Temperature,High Thermistor ID,Low Temperature,Low Thermistor ID,Pack DCL,Pack CCL,High Cell Voltage,High Cell Voltage ID,Low Cell Voltage,Low Cell Voltage ID,Inte Wh Used
0,13724,2785,0,0,3,276,52,35658,508,0,615,632,615,0,0,62,,,,,,,,,,,,,,,,,,,,
1,,,0,0,3,276,,,,,,,,,,62,13,0,1509,0,1509,,,,,,,,,,,,,,,
2,13724,2785,0,0,,,,35658,508,0,611,633,611,0,,233,13,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
3,,,,,,276,,,,,,,,,,64,14,0,1509,0,,,,,,,,,,,,,,,,
4,,,,,,,,35658,508,0,858,633,858,,,2,15,0,1509,0,,,,,,,,,,,,0,1,0,1,
5,13724,2785,146,271,94,277,52,,,,1260,633,1260,,,233,0,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
6,13728,2786,1349,487,,,,,,,,,,,,2,1,0,1509,0,,,,,,,,,,,,0,1,0,1,
7,,,,,,278,,,,,,,,,,49,2,0,1509,0,,,,,,,,,,,,,,,,
8,13807,2786,3228,483,512,284,,,,,1445,633,1445,0,,233,3,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
9,14114,,,,,,,,,,1470,636,1470,0,,2,4,0,1509,0,,,,,,,,,,,,0,1,0,1,
10,,,4877,376,,,,,,,,,,,,52,5,0,1509,0,,,,,,,,,,,,,,,,
11,14494,2786,6109,312,,292,52,,,,1434,633,1434,0,,233,6,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
12,,,,,,299,52,,,,1298,632,1298,,,2,7,0,1509,0,,,,,,,,,,,,0,1,0,1,
13,14853,,,,,,,,,,,,,,,60,8,0,1509,0,,,,,,,,,,,,,,,,
14,15107,,6972,-42,925,305,52,,,,1285,632,1285,0,,60,9,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
15,,,6538,301,,,,,,,,,,,,62,10,0,1509,0,,,,,,,,,,,,,,,,
16,15260,2974,7010,-71,,308,55,,,,1286,634,1286,0,,233,11,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
17,,,,,,311,,,,,,,,,,64,12,0,1509,0,,,,,,,,,,,,,,,,
18,15432,,,,,,,,,,1234,633,1234,0,,2,13,0,1509,0,,,,,,,,,,,,0,1,0,1,
19,15432,,5857,0,773,311,61,,,,1040,632,1040,0,,233,14,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
20,,,5587,0,753,311,,,,,,,,,,2,15,0,1509,0,,,,,,,,,,,,0,1,0,1,
21,,,,,,,,,,,1041,633,1041,,,52,0,0,1509,0,,,,,,,,,,,,,,,,
22,15432,3274,5468,0,737,311,61,,,,1041,632,1041,,,233,1,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
23,15432,3274,5358,0,,,,,,,,,,,,2,2,0,1509,0,,,,,,,,,,,,0,1,0,1,
24,,,,,,311,,,,,,,,,,55,3,0,1509,0,,,,,,,,,,,,,,,,
25,15432,3274,5251,0,710,311,,,,,1044,635,1044,0,,233,4,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
26,15432,,,,,,,,,,1041,633,1041,0,,2,5,0,1509,0,,,,,,,,,,,,0,1,0,1,
27,,,5143,0,,,,,,,,,,,,58,6,0,1509,0,,,,,,,,,,,,,,,,
28,15432,3274,5035,0,,311,61,,,,1043,634,1043,0,,60,7,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
29,,,,,,311,,,,,,,,,,60,8,0,1509,0,,,,,,,,,,,,,,,,
30,15432,3274,4930,0,659,311,,,,,1043,632,1043,0,,233,9,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
31,,,,,,,,,,,1043,632,1043,,,60,10,0,1509,0,,,,,,,,,,,,,,,,
32,15432,3274,4827,0,,,,,,,,,,,,2,11,0,1509,0,,,,,,,,,,,,0,1,0,1,
33,15432,3274,4723,0,,311,61,,,,1042,633,1042,0,,233,12,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
34,,,,,,311,61,,,,1043,633,1043,,,2,13,0,1509,0,,,,,,,,,,,,0,1,0,1,
35,15432,,,,,,,,,,,,,,,64,14,0,1509,0,,,,,,,,,,,,,,,,
36,15432,,4621,0,620,311,61,,,,1043,632,1043,0,,233,15,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
37,,,4518,0,612,311,,,,,,,,,,2,0,0,1509,0,,,,,,,,,,,,0,1,0,1,
38,,,,,,,,,,,1043,632,1043,,,51,1,0,1509,0,,,,,,,,,,,,,,,,
39,15432,3274,4418,0,594,311,61,,,,613,632,613,,,233,2,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
40,15432,3274,4320,0,,,,,,,,,,,,2,3,0,1509,0,,,,,,,,,,,,0,1,0,1,
41,,,,,,311,,,,,,,,,,54,4,0,1509,0,,,,,,,,,,,,,,,,
42,15432,3274,4220,0,565,311,,,,,624,633,624,0,,60,5,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
